City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
227,coahuayana,0,MX,1542487215,35,18.62,83.94,2.91,-100.35
228,kudahuvadhoo,64,MV,1542487215,100,2.67,81.33,12.08,72.89
229,sao jose da coroa grande,92,BR,1542487215,87,-8.9,78.76,10.51,-35.15
230,mataram,36,ID,1542487215,91,-5.32,75.57,2.57,105.06
231,karlstad,0,SE,1542484200,93,59.38,41.0,4.7,13.5
232,comarapa,20,BO,1542487216,48,-17.91,76.92,3.24,-64.53
233,samarai,32,PG,1542487217,100,-10.62,79.8,11.86,150.67
234,duldurga,0,RU,1542487217,65,50.67,-2.2,6.38,113.59
235,goderich,88,CA,1542486962,90,43.74,35.2,11.41,-81.71
236,kang,24,BW,1542487217,26,-23.67,77.19,6.93,22.79
237,porbandar,0,IN,1542487218,81,21.64,72.19,7.94,69.61
238,saraland,75,US,1542484560,39,30.82,68.0,4.7,-88.07
239,langsa,100,ID,1542487218,100,4.47,70.8,2.01,97.97
240,grindavik,90,IS,1542484800,93,63.84,50.0,34.45,-22.43
241,male,0,UA,1542487219,65,50.74,13.38,2.91,33.7
242,bam,0,IR,1542487219,68,29.11,50.5,4.7,58.36
243,bethel,90,US,1542484380,100,60.79,33.08,6.93,-161.76
244,nishihara,90,JP,1542485460,76,35.74,55.4,9.17,139.53
245,qaanaaq,20,GL,1542487221,100,77.48,-3.14,10.85,-69.36
246,mahajanga,40,MG,1542484800,88,-15.72,80.6,2.24,46.32
247,verkhnyaya inta,68,RU,1542487222,87,65.99,28.95,4.59,60.32
248,bambous virieux,40,MU,1542484800,83,-20.34,73.4,9.17,57.76
249,sola,90,NO,1542484200,100,58.89,42.8,5.82,5.65
250,bukavu,80,CD,1542487223,100,-2.51,57.57,2.91,28.86
251,chicama,20,PE,1542484800,73,-7.84,69.8,13.87,-79.15
252,shafter,1,US,1542484560,25,35.5,68.0,4.7,-119.27
253,entebbe,20,UG,1542483000,94,0.06,69.8,3.36,32.45
254,broken hill,0,AU,1542487224,41,-31.97,59.82,6.04,141.45
255,abu samrah,76,SY,1542487224,84,35.3,49.74,7.16,37.18
256,leningradskiy,64,RU,1542487224,100,69.38,10.5,20.13,178.42
257,karratha,0,AU,1542487225,23,-20.74,85.06,16.89,116.85
258,hambantota,80,LK,1542487225,100,6.12,76.87,7.49,81.12
259,gravdal,75,NO,1542484200,93,59.79,42.8,6.93,5.78
260,slave lake,1,CA,1542484800,100,55.28,21.2,10.29,-114.77
261,isangel,68,VU,1542487226,100,-19.55,74.62,9.28,169.27
262,orahovac,75,XK,1542484800,51,42.4,37.4,6.93,20.65
263,gore,88,ET,1542487227,95,8.15,60.63,2.68,35.53
264,malindi,0,KE,1542484800,88,-3.22,80.6,5.93,40.12
265,san juan,20,PH,1542484800,100,14.6,77.0,3.36,121.03
266,nelspruit,24,ZA,1542484800,78,-25.48,71.6,12.75,30.98
